Year,Make,Model,Trim,Body,Cab Type,Truck Bed Size,Exterior Condition,Interior Condition,Drive Type,Dealer License,Stock Number,Transmission,Liters,Cylinders,Fuel Type,Number of Doors,Number of Seat Belts,Mileage,VIN,Title Type,Exterior Color,Interior Color,Price,Views
2007,Toyota,Camry,XLE V6,Sedan,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,249124,JTNBK46K173017204,Clean Title,Black,Gray,3650,137
2016,Toyota,4Runner,Trail Premium,SUV,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,115000,JTEBU5JR7G5293430,Clean Title,Gray,Black,26900,230
2003,Toyota,4Runner,SR5,SUV,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,Not Specified,167000,JTEBT14R230013444,Clean Title,Silver,Gray,11500,745
2007,Toyota,FJ Cruiser,Base,Sport Utility,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,2,5,152000,JTEBU11F670068556,Clean Title,Black,Black,28500,0
2000,Toyota,Land Cruiser,Base,SUV,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,Not Specified,Not Specified,231600,JT3HT05JXY0100568,Clean Title,White,Tan,10200,621
2023,Toyota,RAV4,Hybrid SE,Crossover,Not Specified,Not Specified,Excellent,Excellent,AWD,Not Specified,Not Specified,Automatic,2.5L,4,Hybrid,4,Not Specified,11800,JTM16RFV0PD107790,Clean Title,Gray,Black,34900,167
2012,Toyota,Prius,Three,Hatchback,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,CVT,1.8L,4,Hybrid,4,5,132043,JTDKN3DU4C5469611,Clean Title,Gray,Gray,10499,39
2002,Toyota,Tundra,SR5 V8,Truck,Extended Cab,Standard Shortbed,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Not Specified,4.7L,8,Gasoline,4,6,221000,5TBBT44122S306314,Clean Title,Tan,Tan,7500,198
2000,Toyota,4Runner,SR5,SUV,Not Specified,Not Specified,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,233000,JT3HN86R7Y0271856,Clean Title,Gray,Gray,6200,405
2008,Toyota,FJ Cruiser,Not Specified,SUV,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,221000,JTEBU11F18K026219,Clean Title,White,White,13999,100
